cooked_food_id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
6249,72,205,0,18,3,0,0,90,5,0
6250,25,95,0,8,2,0,0,15,3,0
6251,100,350,0,22,5,0,0,150,11,0
6252,56,266,0,21,4,0,0,141,8,0
6253,770,3095,0,26,5,0,0,160,13,0
6254,100,360,0,30,6,0,0,250,7,0
6255,100,315,0,28,6,0,0,260,2.1,0
6256,100,385,0,28,6,0,0,280,9,0
6257,100,375,0,28,6,0,0,260,9,0
6258,100,383,0,30,7,0,0,141,3.3,0
6259,100,365,0,30,6,0,0,240,8,0
6260,100,390,0,25,7,0,0,290,8,0
6261,54,171,0,16,4,0,0,54,1.1,0
6262,100,310,0,35,7,0,0,102,0.8,0
6263,460,1345,0,90,21,0,0,470,45,0
6264,547,1460,0,107,23,0,0,480,47,0
6265,778,2155,0,145,32,0,0,680,72,0
6266,100,450,0,25,6,0,0,217,13,0
6267,100,484,0,23,7,0,0,223,13,0
6268,100,306,0,39,8,0,0,189,2.2,0
6269,100,296,0,36,8,0,0,194,2.2,0
6270,889,2570,0,168,40,0,0,880,88,0
6271,970,2650,0,195,41,0,0,900,84,0
6272,638,2185,0,167,26,0,0,730,76,0
6273,698,2115,0,118,25,0,0,610,83,0
6274,705,2220,0,142,25,0,0,610,87,0
6275,556,1620,0,133,21,0,0,590,49,0
6276,798,2315,0,190,31,0,0,870,68,0
6277,619,1970,0,119,23,0,0,300,72,0
6278,719,2000,0,135,32,0,0,680,65,0
6279,973,2710,0,183,42,0,0,900,90,0
6280,616,2090,0,123,26,0,0,660,80,0
6281,664,2045,0,122,26,0,0,660,75,0
6282,667,2015,0,168,25,0,0,650,72,0
6283,1019,3090,0,251,42,0,0,1170,92,0
6284,717,1930,0,135,26,0,0,670,60,0
6285,921,2660,0,99,32,0,0,820,97,0
6286,1022,2570,0,141,24,0,0,410,116,0
6287,622,1485,0,117,23,0,0,450,40,0
6288,40,155,0,8,3,0,0,95,4.6,0
6289,800,2315,0,164,42,0,0,980,75,0
6290,79,220,0,15,3,0,0,100,8,0
6291,89,260,0,21,6,0,0,85,7,0
6292,25,110,0,9,1,0,0,15,3.3,0
6293,25,105,0,10,1,0,0,25,3.1,0
6294,542,1630,0,130,19,0,0,560,50,0
6295,80,300,0,17,4,0,0,150,9,0
6296,82,285,0,21,4,0,0,210,9,0
6297,66,155,0,10,1,0,0,60,1.2,0
6298,646,1555,0,106,23,0,0,490,54,0
6299,100,355,0,28,6,0,0,220,6,0
6300,23,85,0,10,1,0,0,5,2.2,0
6301,25,100,0,8,1,0,0,20,4.1,0
6302,175,519,0,48,27,0,0,179,3,0
6303,63,225,0,16,2,0,0,90,7,0
6304,58,220,0,11,3,0,0,60,8,0
6305,195,913,0,96,12,0,0,255,21,0
6306,55,205,0,10,2,0,0,60,8,0
6307,60,72,0,0,1,0,0,17,4,0
6308,15,71,0,0,1,0,0,16,4,0
6309,15,72,0,0,1,0,0,19,4,0
6310,40,190,0,6,3,0,0,70,7,0
6311,136,350,0,32,5,0,0,180,8,0
6312,145,355,0,31,5,0,0,160,8,0
6313,75,185,0,16,3,0,0,75,4.7,0
6314,77,315,0,34,3,0,0,110,8,0
6315,71,265,0,15,3,0,0,105,8,0
6316,71,270,0,15,3,0,0,110,8,0
6317,67,240,0,16,3,0,0,90,8,0
6318,62,245,0,14,3,0,0,90,8,0
6319,78,180,0,12,3,0,0,50,6,0
6320,77,180,0,11,3,0,0,45,6,0
6321,73,165,0,11,3,0,0,45,6,0
6322,73,385,0,14,2,0,0,65,5,0
6323,65,250,0,13,3,0,0,105,8,0
6324,56,225,0,12,2,0,0,75,8,0
6325,71,205,0,15,3,0,0,80,8,0
6326,76,295,0,17,4,0,0,60,12,0
6327,69,145,0,8,2,0,0,60,5,0
6328,74,225,0,15,3,0,0,130,10,0
