id,food_code,food_name,country_origin,manufacturer,category_main,category_sub,food_image,allergy_info,storage_info,harvest_time
47,R000047-ZZ-AVG,"멥쌀, 백미, 추청벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
48,R000048-ZZ-AVG,"멥쌀, 백미, 친들, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
49,R000049-ZZ-AVG,"멥쌀, 백미, 큰눈벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
50,R000050-ZZ-AVG,"멥쌀, 백미, 통일벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
51,R000051-ZZ-AVG,"멥쌀, 백미, 팔방미, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
52,R000052-ZZ-AVG,"멥쌀, 백미, 하이아미, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
53,R000053-ZZ-AVG,"멥쌀, 백미, 한가루, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
54,R000054-ZZ-AVG,"멥쌀, 백미, 한아름4호, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
55,R000055-ZZ-AVG,"멥쌀, 백미, 해담쌀, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
56,R000056-ZZ-AVG,"멥쌀, 백미, 해들, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
57,R000057-ZZ-AVG,"멥쌀, 백미, 해품, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
58,R000058-ZZ-AVG,"멥쌀, 백미, 향미벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
59,R000059-ZZ-AVG,"멥쌀, 백미, 호품벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
