fresh_food_id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
1007,100,37 ,8.29,2.99,2.08,0.31,0,0,0.06,0
1008,100,55 ,12.20,7.83,2.37,0.62,0,865,0.07,0
1009,100,293 ,61.3,0,22.8,2.2,0,0,0,0
1010,100,27 ,3.84,0.24,1.62,1.09,0,186,0.05,0
1011,100,49 ,12.15,3.21,0.77,0.04,0,15,0.02,0
1012,100,24 ,4.80,1.82,1.95,0.20,0,4,0.06,0
1013,100,19 ,4.65,1.31,0.78,0.09,0,2,0.03,0
1014,100,23 ,4.99,0.81,1.55,0.13,0,2,0.05,0
1015,100,28 ,5.77,0,2.04,0.27,0,3,0.08,0
1016,100,20 ,3.48,1.22,1.88,0.36,0,17,0.06,0
1017,100,19 ,3.69,1.17,1.42,0.28,0,6,0.05,0
1018,100,14 ,2.4,0,1.1,0.3,0,5,0,0
1019,100,20 ,4.5,0,1.1,0.2,0,161,0,0
1020,100,19 ,3.7,0,1.7,0.2,0,5,0,0
1021,100,15 ,2.79,1.03,1.31,0.21,0,6,0.04,0
1022,100,23 ,4.59,1.31,1.53,0.36,0,6,0.07,0
1023,100,23 ,4.59,0.87,1.78,0.32,0,12,0.05,0
1024,100,24 ,4.0,0,1.8,0.6,0,102,0,0
1025,100,17 ,3.2,0,1.2,0.3,0,5,0,0
1026,100,17 ,2.72,0.15,2.28,0.22,0,30,0.04,0
1027,100,15 ,3.35,2.17,1.06,0.10,0,4,0.02,0
1028,100,9 ,1.3,0,0.9,0.2,0,6,0,0
1029,100,16 ,3.5,0,0.8,0.2,0,2,0,0
1030,100,10 ,2.1,0,0.6,0.1,0,8,0,0
1031,100,42 ,9.82,0.45,0.97,0.15,0,4,0.06,0
1032,100,38 ,8.4,0,1.3,0.3,0,11,0,0
1033,100,364 ,88.35,19.90,0.70,0.86,0,6,0.02,0
1034,100,15,3.9,0,0.3,0.2,0,2200,-0.06,0
1035,100,83 ,19.35,2.53,0.97,0.19,0,23,0.04,0
1036,100,34 ,7.15,0.43,1.03,0.12,0,17,0.03,0
1037,100,91 ,21.00,6.00,0.80,0.38,0,0,0.05,0
1038,100,75 ,17.76,0,0.75,0.15,0,0,0.04,0
1039,100,41 ,8.5,0,3.0,0.4,0,2,0,0
1040,100,34 ,7.6,0,2.0,0.2,0,1,0,0
1041,100,17 ,3.95,0,1.04,0.07,0,70,0.02,0
1042,100,17 ,3.81,0,1.10,0.12,0,69,0.03,0
1043,100,259 ,52.6,0,21.7,2.2,0,77,0,0
1044,100,128,26.6,0,6.3,0.1,0,3,0,0
1045,100,129,27.2,0,6.2,0.1,0,3,0,0
1046,100,64 ,14.7,0,3.9,0.2,0,0,0,0
1047,100,13 ,2.34,0,1.73,0.05,0,4,0.03,0
1048,100,12 ,1.4,0,2.2,0.2,0,5,0,0
1049,100,16 ,2.90,0,1.96,0.11,0,4,0.04,0
1050,100,27 ,5.65,1.93,1.50,0.09,0,59,0.02,0
1051,100,28 ,6.04,2.30,1.32,0.09,0,25,0.02,0
1052,100,30 ,6.88,3.70,1.10,0.07,0,46,0.02,0
1053,100,33 ,7.51,2.98,1.28,0.09,0,47,0.02,0
