NO,1회제공량(g),에너지(㎉),탄수화물(g),당류(g),단백질(g),지방(g),콜레스테롤(㎎),나트륨(㎎),포화 지방산(g),트랜스 지방산(g)
id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
6036,370,305,-,32,11,-,-,181,9,-
6037,296,245,-,26,9,-,-,245,7,-
6038,416,195,-,22,6,-,-,105,5,-
6039,342,165,-,18,6,-,-,94,5,-
6040,428,420,-,40,9,-,-,236,15,-
6041,318,320,-,25,6,-,-,173,13,-
6042,470,385,-,72,1,-,-,31,3.8,-
6043,515,605,-,81,16,-,-,251,3.9,-
6044,65,112,-,18,1,-,-,25,2.3,-
6045,65,64,-,16,0,-,-,2,0,-
6046,65,150,-,9,2.8,-,-,50,4.3,-
6047,65,130,-,7,2.5,-,-,40,3.6,-
6048,65,140,-,7,2.7,-,-,25,3.8,-
6049,395,20,-,4,1,-,-,6,0,-
6050,240,88,-,19,0,-,-,27,0,-
6051,460,20,-,3,1,-,-,5,0,-
6052,355,15,-,3,0,-,-,4,0,-
6053,310,15,-,0,0,-,-,-,0,-
6054,355,10,-,0,1,-,-,-,0,-
6055,330,125,-,8,6,-,-,88,4,-
6056,255,150,-,10,7,-,-,105,5,-
6057,290,170,-,11,8,-,-,123,6,-
6058,120,470,-,12,7,-,-,560,18,-
6059,115,455,-,20,7,-,-,260,17,-
6060,92,310,-,11,6,-,-,250,11,-
6061,120,350,-,17,7,-,-,310,7,-
6062,124,505,-,27,11,-,-,430,12,-
6063,310,1680,-,104,59,-,-,630,58,-
6064,58,305,-,10,4,-,-,200,12,-
6065,96,390,-,20,8,-,-,320,9,-
6066,130,595,-,29,10,-,-,430,18,-
6067,104,515,-,22,7,-,-,320,24,-
6068,160,615,-,22,10,-,-,580,22,-
6069,310,1195,-,43,20,-,-,1110,42,-
6070,90,365,-,14,7,-,-,210,11,-
6071,380,1050,-,24,31,-,-,1710,2,-
6072,280,1035,-,25,25,-,-,1190,25,-
6073,420,270,-,9,8,-,-,450,3.8,-
6074,210,225,-,8,6,-,-,380,3.1,-
6075,155,535,-,38,13,-,-,310,9,-
6076,128,385,-,27,7,-,-,260,12,-
6077,159,570,-,19,9,-,-,940,8,-
6078,95,280,-,10,7,-,-,400,0.6,-
6079,110,455,-,21,9,-,-,360,13,-
6080,102,280,-,11,7,-,-,400,0.6,-
6081,76,325,-,12,6,-,-,280,11,-
6082,75,255,-,10,6,-,-,270,2.8,-
6083,114,510,-,26,10,-,-,330,16,-
6084,100,365,-,9,6,-,-,370,12,-
6085,156,430,-,6,13,-,-,1070,0.8,-
6086,310,1075,-,76,25,-,-,620,19,-
6087,100,330,-,22,5,-,-,200,9,-
6088,90,325,-,18,5,-,-,210,10,-
6089,150,455,-,21,7,-,-,260,17,-
6090,108,315,-,4,8,-,-,370,4.3,-
6091,132,375,-,6,8,-,-,360,5,-
6092,114,360,-,10,9,-,-,380,4.7,-
6093,125,365,-,7,15,-,-,600,6,-
6094,110,320,-,4,6,-,-,350,4.5,-
6095,140,405,-,27,8,-,-,290,10,-
6096,75,215,-,14,4,-,-,150,5,-
6097,342,950,-,26,25,-,-,1110,10,-
6098,75,320,-,4,5,-,-,460,13,-
6099,76,200,-,6,5,-,-,180,6,-
6100,70,300,-,18,5,-,-,160,7,-
6101,75,270,-,12,4,-,-,170,10,-
6102,91,285,-,8,11,-,-,550,6,-
6103,128,490,-,17,10,-,-,420,11,-
6104,133,615,-,26,12,-,-,350,18,-
6105,58,230,-,12,5,-,-,190,5,-
6106,110,410,-,32,11,-,-,260,3.4,-
6107,82,240,-,6,7,-,-,440,3.1,-
6108,78,170,-,4,5,-,-,310,1.1,-
6109,76,265,-,11,6,-,-,300,6,-
6110,81,275,-,19,5,-,-,320,1.9,-
6111,213,750,-,14,18,-,-,980,11,-
6112,29,130,-,3,1,-,-,90,6,-
6113,58,260,-,6,4,-,-,470,10,-
6114,114,450,-,25,7,-,-,260,12,-
6115,175,645,-,47,11,-,-,300,13,-
6116,186,605,-,17,17,-,-,810,11,-
6117,254,885,-,53,19,-,-,910,23,-
6118,77,165,-,4,5,-,-,300,1.1,-
6119,127,345,-,12,13,-,-,790,5,-
6120,350,1290,-,93,23,-,-,610,27,-
6121,71,305,-,6,4,-,-,250,13,-
6122,128,460,-,17,10,-,-,380,10,-
6123,100,405,-,17,5,-,-,350,15,-
6124,67,295,-,9,6,-,-,240,8,-
6125,67,300,-,9,6,-,-,220,8,-
6126,133,360,-,7,13,-,-,650,8,-
6127,106,310,-,17,7,-,-,330,10,-
6128,90,330,-,20,7,-,-,300,7,-
6129,114,435,-,20,10,-,-,460,10,-
6130,49,190,-,7,3,-,-,210,4.4,-
6131,130,450,-,23,9,-,-,460,10,-
6132,71,260,-,8,6,-,-,230,6,-
6133,242,875,-,47,18,-,-,860,18,-
6134,71,210,-,17,4,-,-,170,1.8,-
6135,109,405,-,8,9,-,-,320,13,-
6136,82,240,-,6,6,-,-,310,7,-
6137,128,445,-,25,10,-,-,420,7,-
6138,73,185,-,9,5,-,-,250,3.4,-
6139,173,555,-,25,13,-,-,580,12,-
6140,57,210,-,3,4,-,-,350,4.8,-
6141,82,240,-,10,5,-,-,300,5,-
6142,20,63,-,3,2,-,-,58,0.6,-
6143,76,245,-,9,6,-,-,320,6,-
6144,256,695,-,49,16,-,-,840,7,-
6145,72,260,-,13,6,-,-,250,4.8,-
6146,79,235,-,8,6,-,-,320,4.6,-
6147,257,925,-,34,21,-,-,760,20,-
6148,280,925,-,58,25,-,-,700,11,-
6149,345,1250,-,41,26,-,-,1340,31,-
6150,71,275,-,11,4,-,-,280,9,-
6151,48,180,-,2,2,-,-,210,3.1,-
6152,250,860,-,43,17,-,-,890,19,-
6153,49,350,-,9,9,-,-,240,10,-
6154,107,435,-,28,11,-,-,300,3.8,-
6155,102,465,-,21,8,-,-,290,16,-
6156,105,340,-,21,9,-,-,320,4.8,-
6157,76,240,-,15,6,-,-,270,3.2,-
6158,76,270,-,28,5,-,-,260,2.5,-
6159,85,260,-,14,6,-,-,220,4.6,-
6160,86,265,-,18,7,-,-,270,1.8,-
6161,76,315,-,16,6,-,-,260,9,-
6162,80,255,-,16,5,-,-,230,1.8,-
6163,68,245,-,28,4,-,-,220,2.2,-
6164,79,325,-,11,5,-,-,220,11,-
6165,36,160,-,11,0.7,-,-,95,2.8,-
6166,36,155,-,11,0.7,-,-,95,2.8,-
6167,36,175,-,12,0.7,-,-,100,3.7,-
6168,20,64,-,3,2,-,-,72,0.6,-
6169,65,215,-,7,5,-,-,290,3.8,-
6170,65,215,-,8,5,-,-,290,3.6,-
6171,90,305,-,19,5,-,-,190,5,-
6172,160,516,-,30,13,-,-,524,7,-
6173,513,1425,-,39,38,-,-,1670,14,-
6174,74,225,-,8,7,-,-,420,2.4,-
6175,72,250,-,9,6,-,-,260,7,-
6176,341,1285,-,37,29,-,-,1770,33,-
6177,78,235,-,6,8,-,-,400,3.7,-
6178,460,1440,-,101,28,-,-,1140,17,-
6179,72,260,-,6,5,-,-,320,11,-
6180,295,890,-,62,19,-,-,930,12,-
6181,82,230,-,7,7,-,-,410,2.7,-
6182,92,295,-,7,8,-,-,440,6,-
6183,100,280,-,8,8,-,-,420,3,-
6184,100,290,-,6,10,-,-,480,3.3,-
6185,100,310,-,5,8,-,-,430,6,-
6186,100,280,-,7,10,-,-,460,2.3,-
6187,100,290,-,7,9,-,-,430,2.7,-
6188,56,215,-,2,2,-,-,200,3.8,-
6189,108,430,-,30,8,-,-,300,3.9,-
6190,48,165,-,3,3,-,-,240,2.1,-
6191,76,255,-,8,5,-,-,230,4.7,-
6192,135,435,-,21,5,-,-,640,4.7,-
6193,50,175,-,10,3,-,-,180,3,-
6194,52,225,-,3,4,-,-,160,7,-
6195,95,330,-,13,6,-,-,230,10,-
6196,52,215,-,3,4,-,-,170,6,-
6197,62,175,-,9,3,-,-,210,2.1,-
6198,62,180,-,9,3,-,-,210,1.9,-
6199,130,390,-,27,9,-,-,460,5,-
6200,88,330,-,8,6,-,-,380,15,-
6201,75,305,-,16,6,-,-,250,7,-
6202,40,170,-,5,2,-,-,120,7,-
6203,86,285,-,11,5,-,-,250,11,-
6204,162,530,-,30,10,-,-,620,14,-
6205,45,145,-,6,2,-,-,70,4.7,-
6206,86,255,-,2,8,-,-,530,2.9,-
6207,83,240,-,10,8,-,-,350,3.4,-
6208,78,245,-,7,6,-,-,350,0.8,-
6209,74,195,-,9,5,-,-,300,2.1,-
6210,100,295,-,11,8,-,-,430,2.5,-
6211,89,230,-,0.7,9,-,-,510,0.2,-
6212,42,170,-,4,3,-,-,250,4.1,-
6213,137,455,-,2,14,-,-,740,1.4,-
6214,105,295,-,12,12,-,-,440,1.5,-
6215,105,320,-,17,11,-,-,340,1.8,-
6216,105,305,-,14,11,-,-,440,1.8,-
6217,250,765,-,36,19,-,-,770,8,-
6218,18,50,-,0.7,2,-,-,105,0.7,-
6219,180,540,-,13,22,-,-,810,14,-
6220,124,335,-,6,13,-,-,550,7,-
6221,25,100,-,5,2,-,-,80,2.3,-
6222,53,215,-,11,4,-,-,180,5,-
6223,95,270,-,13,8,-,-,330,9,-
6224,127,355,-,8,6,-,-,380,6,-
6225,208,555,-,5,22,-,-,1370,8,-
6226,105,250,-,7,11,-,-,410,5,-
6227,101,245,-,5,11,-,-,510,4.7,-
6228,107,235,-,7,7,-,-,330,3.7,-
6229,180,750,-,31,19,-,-,980,18,-
6230,104,425,-,21,9,-,-,350,10,-
6231,396,1130,-,90,13,-,-,320,37,-
6232,673,1920,-,1145,25,-,-,590,63,-
6233,100,370,-,21,6,-,-,141,3.9,-
6234,542,1475,-,150,16,-,-,580,37,-
6235,832,2530,-,123,40,-,-,620,94,-
6236,810,1420,-,84,25,-,-,570,47,-
6237,74,200,-,10,5,-,-,50,4,-
6238,1021,1580,-,104,30,-,-,710,48,-
6239,79,255,-,14,4,-,-,60,10,-
6240,70,245,-,13,3,-,-,95,10,-
6241,58,250,-,14,2,-,-,18,8,-
6242,70,280,-,18,4,-,-,65,8,-
6243,100,1519,-,39,7,-,-,100,0.6,-
6244,333,940,-,71,11,-,-,260,31,-
6245,562,1535,-,99,23,-,-,480,53,-
6246,500,1310,-,79,16,-,-,330,52,-
6247,705,2025,-,136,32,-,-,680,66,-
6248,717,1960,-,144,31,-,-,680,61,-
6249,72,205,-,18,3,-,-,90,5,-
6250,25,95,-,8,2,-,-,15,3,-
