NO,1회제공량(g),에너지(㎉),탄수화물(g),당류(g),단백질(g),지방(g),콜레스테롤(㎎),나트륨(㎎),포화 지방산(g),트랜스 지방산(g)
id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
3925,30,42.95,5.73,1.27,0.53,2.05,0.08,81.82,1.02,0
3926,30,147.19,20.61,2.01,2.02,6.3,0.17,142.69,4.81,0.01
3927,30,44.91,6.07,2.06,0.59,2.03,0.08,54.35,1.56,0.01
3928,30,44.72,6.06,2.2,0.61,2.01,0.1,60.06,1.55,0.01
3929,30,146.75,20.62,2.35,2.02,6.24,0.31,150.09,4.73,0.01
3930,30,39.85,6.83,1.24,0.94,0.97,0.11,47.3,0.14,0.02
3931,30,45,4.86,0.05,1.26,2.34,0,0.36,0,0
3932,30,23.25,2.25,0.74,1.2,0.6,0,52.5,0.15,0
3933,30,36,7.2,3.24,0.45,0.65,0,14.4,0,0
3934,30,40.91,6.63,0.18,0.87,1.21,0.66,60.05,0.67,0.02
3935,30,45,5.7,0.9,0.9,2.1,0,19.5,1.17,0
3936,100,147.4,29.07,20,0,3.46,0,27.68,2.35,0
3937,10,3.44,0.91,0.75,0,0,0,0.31,0,0
3938,30,44.03,6.56,0.96,0.41,1.79,0,42.97,0.74,0
3939,30,42.81,6.89,1.67,0.39,1.52,0,30.53,0.61,0
3940,30,128.14,21.54,1.89,1.2,4.13,0,120.38,2.11,0
3941,70,236.83,34.3,11.43,3.27,9.8,0,228.67,7.84,0
3942,70,236.83,34.3,13.07,3.27,9.8,0,245,7.68,0
3943,70,236.83,34.3,13.07,3.27,9.8,0,245,7.68,0
3944,30,41.07,6.59,0.32,0.86,1.21,0.78,58.86,0.69,0.03
3945,30,130,16,1.5,1,7,0,20,0.6,0
3946,30,45,5.77,1.83,0.59,2.17,1.37,9.93,1.02,0
3947,10,3.3,0.77,0.6,0.05,0,0,0.26,0,0
3948,200,214.29,38.77,48.56,0,1.63,0,0,1.23,0
3949,20,22.86,2.1,0.02,0.27,1.49,0.11,23.89,0.17,0.01
3950,10,3.75,0.94,0.75,0,0,0,1.25,0,0
3951,30,35.36,7.07,4.5,0,0.64,0,54.64,0.32,0
3952,30,46.5,5.1,0,0.6,2.7,0,14.4,0.3,0
3953,30,33.3,7.02,2.66,0.72,0.31,0,3.42,0.14,0
3954,30,33.9,7.2,3,0.6,0.3,0,2.4,0.21,0
3955,30,41.9,6.83,3.42,0.31,1.55,0,22.34,0.68,0
3956,20,16.27,3.33,2,0.13,0.27,2,20,0.13,0
3957,30,40.5,6.57,0.25,0.45,1.35,0.45,8.1,1.12,0.02
3958,30,47.34,5.49,1.27,0.63,2.61,0.9,24.75,1.62,0
3959,30,46.44,6.12,1.8,0.72,2.16,0.72,36.36,0.9,0
3960,30,45,0,3.6,0.48,2.42,1.38,18.69,1.18,0
3961,70,269.5,29.4,22.05,2.45,14.7,12.25,36.75,9.8,0
